t-2,t-1,t-0,t+1 (prediction)
7500.0,7400.0,7400.0,7450.0
7400.0,7400.0,7450.0,7450.0
7400.0,7450.0,7450.0,7650.0
7450.0,7450.0,7650.0,7900.0
7450.0,7650.0,7900.0,8100.0
7650.0,7900.0,8100.0,8250.0
7900.0,8100.0,8250.0,8350.0
8100.0,8250.0,8350.0,8600.0
8250.0,8350.0,8600.0,8450.0
8350.0,8600.0,8450.0,8400.0
8600.0,8450.0,8400.0,8500.0
8450.0,8400.0,8500.0,8700.0
8400.0,8500.0,8700.0,8650.0
8500.0,8700.0,8650.0,8750.0
8700.0,8650.0,8750.0,8750.0
8650.0,8750.0,8750.0,8750.0
8750.0,8750.0,8750.0,8650.0
8750.0,8750.0,8650.0,8400.0
8750.0,8650.0,8400.0,8600.0
8650.0,8400.0,8600.0,8550.0
8400.0,8600.0,8550.0,8650.0
8600.0,8550.0,8650.0,8600.0
8550.0,8650.0,8600.0,8500.0
8650.0,8600.0,8500.0,8600.0
8600.0,8500.0,8600.0,8900.0
8500.0,8600.0,8900.0,9200.0
8600.0,8900.0,9200.0,9150.0
8900.0,9200.0,9150.0,9350.0
9200.0,9150.0,9350.0,9500.0
9150.0,9350.0,9500.0,9300.0
9350.0,9500.0,9300.0,9250.0
9500.0,9300.0,9250.0,9250.0
9300.0,9250.0,9250.0,9150.0
9250.0,9250.0,9150.0,8800.0
9250.0,9150.0,8800.0,9350.0
9150.0,8800.0,9350.0,9350.0
8800.0,9350.0,9350.0,9350.0
9350.0,9350.0,9350.0,9500.0
9350.0,9350.0,9500.0,9500.0
9350.0,9500.0,9500.0,9550.0
9500.0,9500.0,9550.0,9800.0
9500.0,9550.0,9800.0,10000.0
9550.0,9800.0,10000.0,10100.0
9800.0,10000.0,10100.0,10300.0
10000.0,10100.0,10300.0,10150.0
10100.0,10300.0,10150.0,10500.0
10300.0,10150.0,10500.0,10400.0
10150.0,10500.0,10400.0,10450.0
10500.0,10400.0,10450.0,10650.0
10400.0,10450.0,10650.0,10700.0
10450.0,10650.0,10700.0,10300.0
10650.0,10700.0,10300.0,10200.0
10700.0,10300.0,10200.0,10450.0
10300.0,10200.0,10450.0,10850.0
10200.0,10450.0,10850.0,10800.0
10450.0,10850.0,10800.0,10550.0
10850.0,10800.0,10550.0,10650.0
10800.0,10550.0,10650.0,10600.0
10550.0,10650.0,10600.0,10450.0
10650.0,10600.0,10450.0,10400.0
10600.0,10450.0,10400.0,10300.0
10450.0,10400.0,10300.0,10350.0
10400.0,10300.0,10350.0,10100.0
10300.0,10350.0,10100.0,10200.0
